Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Classroom,Semester,Electives,Branch,Normalized Key,Strength
HS204,Economics,3,1,0,0,4,Dr. Anushree Kini,C101,4,F,ECE,hs204-4,74
CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,C004,2,F,ECE,cs162-2,76
CS164,Computer Architecture,3,0,2,0,2,Dr. Jagadish D N,C205,2,F,ECE,cs164-2,76
HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas,C004,4,F,ECE,hs205-4,74
EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,C101,4,F,ECE,ec205-4,74
CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad Bm,C205,2,F,ECE,cs163-2,76
EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,C101,4,F,ECE,ec310-4,72
HS161,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,C205/C004,2,F,ECE,hs161-2,76
EC307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma / Dr. Rao (lab),C305,6,F,ECE,ec307-6,72
EC162,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,C205,2,F,ECE,ec162-2,76
EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),C101,4,F,ECE,ec204-4,74
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Sunil Saumya,C204,2,F,DSAI,cs163-2,
CS204,Operating System,3,0,2,0,4,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,C104,4,F,CSE,cs204-4,
DS306,Financial Data Analytics,3,0,0,4,4,Dr. Utkarsh Khaire,C302,6,F,DSAI,ds306-6,
CS301,Software Engineering,3,1,0,0,4,Dr. Vivekraj V K / Dr. Sunil Kumar P V,C104,4,F,CSE,cs301-4,
DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),C003,4,F,DSAI,ds205-4,
DS307,Innovation and Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),C302,6,F,DSAI,ds307-6,
