Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,09:00-10:00,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE A,4.0,
Monday,10:00-11:00,C104,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE A,4.0,
Monday,11:30-12:30,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE A,4.0,
Monday,14:30-15:30,C104,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE A,4.0,
Monday,17:00-18:00,C104,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE A,4.0,
Monday,18:00-19:00,C102,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE A,4.0,
Tuesday,10:00-11:00,C104,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE A,4.0,
Tuesday,11:30-12:30,C203,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Tutorial,CSE A,4.0,
Tuesday,14:30-15:30,C202,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE A,4.0,
Tuesday,15:30-16:30,C204,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Lecture,CSE A,4.0,
Tuesday,18:00-19:00,C303,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE A,4.0,
Wednesday,08:00-09:00,C303,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Tutorial,CSE A,4.0,
Wednesday,11:30-12:30,C202,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE A,4.0,
Wednesday,14:30-15:30,C202,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE A,4.0,
Wednesday,17:00-18:00,C104,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE A,4.0,
Thursday,09:00-10:00,C204,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,CSE A,4.0,
Thursday,14:30-15:30,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,CSE A,4.0,
Thursday,17:00-18:00,C104,MA202,Linear Algebra,Dr. Anand Barangi,Tutorial,CSE A,4.0,
Friday,08:00-09:00,C203,CS206,Theory of Computation,Dr. Pavan / Dr. Sunil C K,Lecture,CSE A,4.0,
Friday,09:00-10:00,C102,CS310,Database Management Systems,Dr. Pramod Yelmewad / Dr. Abdul Wahid,Tutorial,CSE A,4.0,
Friday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,CSE A,4.0,
Friday,18:00-19:00,C206,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE A,4.0,
