Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,11:30-12:30,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Lecture,CSE,6.0,
Monday,11:30-12:30,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Lecture,CSE,6.0,
Monday,11:30-12:30,C004,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,CSE,6.0,
Monday,11:30-12:30,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Lecture,CSE,6.0,
Monday,15:30-16:30,C202,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,CSE,6.0,
Monday,15:30-16:30,C203,CS469,Virtualization and Cloud Computing,Dr. Malay,Tutorial,CSE,6.0,
Monday,15:30-16:30,C204,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,CSE,6.0,
Monday,15:30-16:30,C206,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Tutorial,CSE,6.0,
Monday,15:30-16:30,C302,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Tutorial,CSE,6.0,
Monday,18:00-19:00,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Tutorial,CSE,6.0,
Monday,18:00-19:00,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Tutorial,CSE,6.0,
Monday,18:00-19:00,C004,CS458,Natural Language Processing,Dr. Krishnendu,Tutorial,CSE,6.0,
Monday,18:00-19:00,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Tutorial,CSE,6.0,
Tuesday,08:00-09:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C003,DS356,Medical Image Analysis,Dr. Girish G N,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Lecture,CSE,6.0,
Tuesday,08:00-09:00,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C003,DS356,Medical Image Analysis,Dr. Girish G N,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Lecture,CSE,6.0,
Tuesday,15:30-16:30,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Lecture,CSE,6.0,
Tuesday,18:00-19:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Tutorial,CSE,6.0,
Tuesday,18:00-19:00,C003,PH352,Quantum Communication,Dr. Aswath B,Tutorial,CSE,6.0,
Tuesday,18:00-19:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Tutorial,CSE,6.0,
Tuesday,18:00-19:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Tutorial,CSE,6.0,
Tuesday,18:00-19:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Tutorial,CSE,6.0,
Tuesday,18:00-19:00,C104,CS365,Model Checking,Dr. Pavan,Tutorial,CSE,6.0,
Wednesday,08:00-09:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Lecture,CSE,6.0,
Wednesday,08:00-09:00,C003,PH352,Quantum Communication,Dr. Aswath B,Lecture,CSE,6.0,
Wednesday,08:00-09:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Lecture,CSE,6.0,
Wednesday,08:00-09:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,CSE,6.0,
Wednesday,08:00-09:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,CSE,6.0,
Wednesday,08:00-09:00,C104,CS365,Model Checking,Dr. Pavan,Lecture,CSE,6.0,
Thursday,09:00-10:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Lecture,CSE,6.0,
Thursday,09:00-10:00,C003,PH352,Quantum Communication,Dr. Aswath B,Lecture,CSE,6.0,
Thursday,09:00-10:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Lecture,CSE,6.0,
Thursday,09:00-10:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,CSE,6.0,
Thursday,09:00-10:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,CSE,6.0,
Thursday,09:00-10:00,C104,CS365,Model Checking,Dr. Pavan,Lecture,CSE,6.0,
Thursday,10:00-11:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C003,DS356,Medical Image Analysis,Dr. Girish G N,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Tutorial,CSE,6.0,
Thursday,10:00-11:00,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Tutorial,CSE,6.0,
Friday,09:00-10:00,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Lecture,CSE,6.0,
Friday,09:00-10:00,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Lecture,CSE,6.0,
Friday,09:00-10:00,C004,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,CSE,6.0,
Friday,09:00-10:00,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Lecture,CSE,6.0,
