Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,09:00-10:00,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Monday,09:00-10:00,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Monday,10:00-11:00,C206,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Lecture,ECE,4.0,
Monday,11:30-12:30,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Monday,11:30-12:30,C203,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Monday,14:30-15:30,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE,4.0,
Monday,15:30-16:30,C303,HS204,Economics,Dr. Anushree Kini,Lecture,ECE,4.0,
Monday,17:00-18:00,C203,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,ECE,4.0,
Monday,18:00-19:00,C204,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
Tuesday,10:00-11:00,C104,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Tuesday,10:00-11:00,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Tuesday,11:30-12:30,C303,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Tutorial,ECE,4.0,
Tuesday,14:30-15:30,C202,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Tuesday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Tuesday,15:30-16:30,C305,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
Tuesday,18:00-19:00,C303,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Tuesday,18:00-19:00,C304,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Wednesday,08:00-09:00,C303,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Tutorial,ECE,4.0,
Wednesday,08:00-09:00,C304,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Tutorial,ECE,4.0,
Wednesday,09:00-10:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE,4.0,
Wednesday,11:30-12:30,C206,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Lecture,ECE,4.0,
Wednesday,14:30-15:30,C202,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Wednesday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Wednesday,17:00-18:00,C101,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,ECE,4.0,
Thursday,08:00-09:00,C101,HS204,Economics,Dr. Anushree Kini,Lecture,ECE,4.0,
Thursday,09:00-10:00,C204,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Thursday,09:00-10:00,C206,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Thursday,10:00-11:00,C204,HS204,Economics,Dr. Anushree Kini,Tutorial,ECE,4.0,
Thursday,14:30-15:30,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Thursday,14:30-15:30,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Thursday,17:00-18:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE,4.0,
Friday,08:00-09:00,C303,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Lecture,ECE,4.0,
Friday,09:00-10:00,C202,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,ECE,4.0,
Friday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Friday,14:30-15:30,C204,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Friday,15:30-16:30,C101,EC310,Embedded Systems Design,Dr. Prakash Pawar,Tutorial,ECE,4.0,
Friday,17:00-18:00,C101,HS204,Economics,Dr. Anushree Kini,Lecture,ECE,4.0,
Friday,18:00-19:00,C102,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
