Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,10:00-11:00,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,DSAI,2.0,
Monday,10:00-11:00,C203,CS310,Database Management System,Dr. Shirshendu Layek / Dr. Utkarsh Khaire,Lecture,DSAI,4.0,
Monday,10:00-11:00,C204,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),Lecture,DSAI,6.0,
Monday,11:30-12:30,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Lecture,DSAI,6.0,
Monday,11:30-12:30,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Lecture,DSAI,6.0,
Monday,11:30-12:30,C004,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,DSAI,6.0,
Monday,11:30-12:30,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Lecture,DSAI,6.0,
Monday,11:30-12:30,C104,CS164,Computer Architecture,Dr. Manjunath K V,Lecture,DSAI,2.0,
Monday,11:30-12:30,C204,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI,4.0,
Monday,14:30-15:30,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI,2.0,
Monday,14:30-15:30,C101,DS309,Cloud Computing,Dr. Animesh Chaturvedi,Lecture,DSAI,6.0,
Monday,14:30-15:30,C203,MA202,Linear Algebra,Dr. Chinmayanand,Lecture,DSAI,4.0,
Monday,15:30-16:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,DSAI,2.0,
Monday,15:30-16:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Monday,15:30-16:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Monday,15:30-16:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,DSAI,2.0,
Monday,15:30-16:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,DSAI,2.0,
Monday,15:30-16:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,DSAI,2.0,
Monday,15:30-16:30,C202,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,DSAI,6.0,
Monday,15:30-16:30,C203,CS469,Virtualization and Cloud Computing,Dr. Malay,Tutorial,DSAI,6.0,
Monday,15:30-16:30,C204,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,DSAI,6.0,
Monday,15:30-16:30,C206,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Tutorial,DSAI,6.0,
Monday,15:30-16:30,C302,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Tutorial,DSAI,6.0,
Monday,17:00-18:00,C101,CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Lecture,DSAI,2.0,
Monday,17:00-18:00,C203,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI,4.0,
