Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,09:00-10:00,C101,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Monday,09:00-10:00,C102,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Monday,10:00-11:00,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,ECE,2.0,
Monday,10:00-11:00,C204,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),Lecture,ECE,6.0,
Monday,10:00-11:00,C206,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Lecture,ECE,4.0,
Monday,11:30-12:30,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Lecture,ECE,6.0,
Monday,11:30-12:30,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Lecture,ECE,6.0,
Monday,11:30-12:30,C004,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE,6.0,
Monday,11:30-12:30,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Lecture,ECE,6.0,
Monday,11:30-12:30,C102,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Monday,11:30-12:30,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Monday,11:30-12:30,C203,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Monday,14:30-15:30,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE,2.0,
Monday,14:30-15:30,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE,4.0,
Monday,15:30-16:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Monday,15:30-16:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Monday,15:30-16:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Monday,15:30-16:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,ECE,2.0,
Monday,15:30-16:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,ECE,2.0,
Monday,15:30-16:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,ECE,2.0,
Monday,15:30-16:30,C202,CS462,Computer Graphics,Dr. Vivekraj V K,Tutorial,ECE,6.0,
Monday,15:30-16:30,C203,CS469,Virtualization and Cloud Computing,Dr. Malay,Tutorial,ECE,6.0,
Monday,15:30-16:30,C204,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,ECE,6.0,
Monday,15:30-16:30,C206,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Tutorial,ECE,6.0,
Monday,15:30-16:30,C302,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Tutorial,ECE,6.0,
Monday,15:30-16:30,C303,HS204,Economics,Dr. Anushree Kini,Lecture,ECE,4.0,
Monday,17:00-18:00,C102,CS164,Computer Architecture,Dr. Jagadish D N,Lecture,ECE,2.0,
Monday,17:00-18:00,C203,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,ECE,4.0,
Monday,17:00-18:00,C206,EC307,Wireless Communication,Dr. Rajib Sharma / Dr. Rao (lab),Lecture,ECE,6.0,
Monday,18:00-19:00,C002,DS357,Large Languange Models,Dr. Sunil Saumya,Tutorial,ECE,6.0,
Monday,18:00-19:00,C003,DS358,Deep Speech Processing,Prof. Srm Prasanna,Tutorial,ECE,6.0,
Monday,18:00-19:00,C004,CS458,Natural Language Processing,Dr. Krishnendu,Tutorial,ECE,6.0,
Monday,18:00-19:00,C101,CS471,Deep Computer Vision,Dr. Chinmayanand,Tutorial,ECE,6.0,
Monday,18:00-19:00,C203,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE,2.0,
Monday,18:00-19:00,C204,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
Tuesday,08:00-09:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C003,DS356,Medical Image Analysis,Dr. Girish G N,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Lecture,ECE,6.0,
Tuesday,08:00-09:00,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Lecture,ECE,6.0,
Tuesday,10:00-11:00,C101,CS164,Computer Architecture,Dr. Jagadish D N,Lecture,ECE,2.0,
Tuesday,10:00-11:00,C104,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Tuesday,10:00-11:00,C202,CS301,Software Engineering,Dr. Vivekraj V K / Dr. Sunil Kumar P V,Lecture,ECE,4.0,
Tuesday,10:00-11:00,C206,EC307,Wireless Communication,Dr. Rajib Sharma / Dr. Rao (lab),Lecture,ECE,6.0,
Tuesday,11:30-12:30,C101,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Tuesday,11:30-12:30,C302,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr. Manjunath Kv),Tutorial,ECE,6.0,
Tuesday,11:30-12:30,C303,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (lab),Tutorial,ECE,4.0,
Tuesday,14:30-15:30,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,ECE,2.0,
Tuesday,14:30-15:30,C202,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Tuesday,14:30-15:30,C203,CS204,Operating System,Dr. Suvadip Hazra / Dr. Malay / Dr. Dibyajyothi Guha,Lecture,ECE,4.0,
Tuesday,14:30-15:30,C204,DS306,Financial Data Analytics,Dr. Utkarsh Khaire,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C002,DS355,Data Analytics and Visualization,Dr. Sunil Ck,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C003,DS356,Medical Image Analysis,Dr. Girish G N,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C004,CS307,Machine learning,Dr. Deepak K T / Dr. Girish G N / Dr. Krishnendu Ghosh,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C101,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C102,CS469,Virtualization and Cloud Computing,Dr. Malay,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C104,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C202,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K / Dr. Sibasankar Padhy,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C203,CS472,Bioinformatics,Dr. Sunil Kumar Pv,Lecture,ECE,6.0,
Tuesday,15:30-16:30,C304,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE,2.0,
Tuesday,15:30-16:30,C305,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE,4.0,
Tuesday,18:00-19:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C003,PH352,Quantum Communication,Dr. Aswath B,Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C104,CS365,Model Checking,Dr. Pavan,Tutorial,ECE,6.0,
Tuesday,18:00-19:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C204,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C206,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C302,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,ECE,2.0,
Tuesday,18:00-19:00,C303,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Tuesday,18:00-19:00,C304,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE,4.0,
Wednesday,08:00-09:00,C002,ASD351,Design Thinking and Innovation,Dr. Jagadeesha R Bhat,Lecture,ECE,6.0,
Wednesday,08:00-09:00,C003,PH352,Quantum Communication,Dr. Aswath B,Lecture,ECE,6.0,
Wednesday,08:00-09:00,C004,PH353,Quantum HPC and AI,Dr. Manish M (Dr. Aswath),Lecture,ECE,6.0,
Wednesday,08:00-09:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,ECE,6.0,
Wednesday,08:00-09:00,C102,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,ECE,6.0,
Wednesday,08:00-09:00,C104,CS365,Model Checking,Dr. Pavan,Lecture,ECE,6.0,
Wednesday,08:00-09:00,C202,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Wednesday,08:00-09:00,C203,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
