Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch,Semester,Info
Monday,10:00-11:00,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,DSAI,2.0,
Monday,10:00-11:00,C004,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,ECE,2.0,
Monday,10:00-11:00,C101,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE A,2.0,
Monday,10:00-11:00,C102,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE B,2.0,
Monday,11:30-12:30,C102,CS163,Data Structures and Algorithms,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Monday,11:30-12:30,C104,CS164,Computer Architecture,Dr. Manjunath K V,Lecture,DSAI,2.0,
Monday,11:30-12:30,C206,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini / Dr.deepak K T,Lecture,CSE A,2.0,
Monday,11:30-12:30,C302,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini / Dr.deepak K T,Lecture,CSE B,2.0,
Monday,14:30-15:30,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI,2.0,
Monday,14:30-15:30,C004,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE,2.0,
Monday,15:30-16:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,DSAI,2.0,
Monday,15:30-16:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,ECE,2.0,
Monday,15:30-16:30,C002,HS154,Photography101,Dr. Prabhu Prasad Bm,Lecture,CSE,2.0,
Monday,15:30-16:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,DSAI,2.0,
Monday,15:30-16:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,ECE,2.0,
Monday,15:30-16:30,C003,HS155,Industry Insights Program Part 1,Mr. Ram Subramanian /  Mr. Sasi Kumar Sundara Rajan,Lecture,CSE,2.0,
Monday,15:30-16:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,DSAI,2.0,
Monday,15:30-16:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,ECE,2.0,
Monday,15:30-16:30,C004,DS151,Linux for Engineers,Dr. Shirshendu Layek,Lecture,CSE,2.0,
Monday,15:30-16:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,DSAI,2.0,
Monday,15:30-16:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,ECE,2.0,
Monday,15:30-16:30,C101,EC154,Introduction to Digital VLSI Design,Dr. Prakash Pawar,Lecture,CSE,2.0,
Monday,15:30-16:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,DSAI,2.0,
Monday,15:30-16:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,ECE,2.0,
Monday,15:30-16:30,C102,HS156,Introduction to Holistic Personality Development,Prof. Chachadi / Dr. Chandrika K,Lecture,CSE,2.0,
Monday,15:30-16:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,DSAI,2.0,
Monday,15:30-16:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,ECE,2.0,
Monday,15:30-16:30,C104,CS152,Data Science with Python,Dr. Abdul Wahid,Lecture,CSE,2.0,
Monday,17:00-18:00,C101,CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Lecture,DSAI,2.0,
Monday,17:00-18:00,C102,CS164,Computer Architecture,Dr. Jagadish D N,Lecture,ECE,2.0,
Monday,17:00-18:00,C302,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini / Dr.deepak K T,Tutorial,CSE A,2.0,
