Electives,,,,,,,
Basket-1,Course Code,Basket-2,Course Code,Basket-3,Course Code,Basket-4,Course Code
Data Science with Python,CS152,Linux for Engineers,DS151,Automotive Embedded and Multimedia Systems,EC362,Data Analytics and Visualization,DS355
Introduction to Digital VLSI Design,EC154,Introduction to Holistic Personality Development,HS156,Computer Graphics,CS462,Statistics for Health Technology,DS351
Industry Insights Program Part 1,HS155,Photography101,HS154,Machine learning,CS307,Medical Image Analysis,DS356
Deep Computer Vision,CS471,Blockchain Technology,CS455,Virtualization and Cloud Computing,CS469,Bioinformatics,CS472
Large Languange Models,DS357,Introduction to 5G Network,EC361,,,,
Natural Language Processing,CS458,Model Checking,CS365,,,,
Deep Speech Processing,DS358,Quantum Communication,PH352,,,,
,,Quantum HPC and AI,PH353,,,,
,,Design Thinking and Innovation,ASD351,,,,
